,claim,label,source_label,source,date,claim_source,explanation,fact_check_url
0,"In voting by mail, “hundreds of thousands of ballots have been rejected for defects and millions more end up missing or in landfills.”",false,barely-true,Politifact,2020-06-03,J. Christian Adams,,https://politifact.com/factchecks/2020/jun/09/j-christian-adams/misleading-claim-millions-absentee-ballots-end-mis/
1,“Research illustrates a clear correlation between vitamin D deficiencies and (higher) COVID-19 mortality rates.”,true,true,Politifact,2020-05-21,Glenn Grothman,,https://politifact.com/factchecks/2020/jun/08/glenn-grothman/glenn-grothman-target-about-tie-between-vitamin-d-/
2,“She’s just casually carrying a body with 1 hand..? Sure.. More evidence of coronavirus being a complete hoax with props & street theater.”,false,false,Politifact,2020-06-03,Viral image,,https://politifact.com/factchecks/2020/jun/05/viral-image/no-photo-doesnt-prove-coronavirus-hoax/
3,“You see suicide rates are skyrocketing now…”,false,false,Politifact,2020-05-26,Tim Murtaugh,,https://politifact.com/factchecks/2020/jun/04/tim-murtaugh/theres-no-data-back-claim-skyrocketing-suicides-du/
4,"“According to the CDC, so far this year, Florida has had 1,762 deaths from COVID-19 and 5,185 from pneumonia. Average pneumonia deaths in Florida from 2013-2018 for the same time period are 918.”",false,false,Politifact,2020-05-27,Facebook posts,,https://politifact.com/factchecks/2020/jun/03/facebook-posts/claim-florida-undercounting-covid-19-deaths-uses-f/
5,Says Nancy Pelosi tried “once again” to include abortion funding in the latest coronavirus bill.,false,barely-true,Politifact,2020-05-13,Bloggers,,https://politifact.com/factchecks/2020/jun/02/blog-posting/fact-checking-claims-pelosi-tried-add-abortion-fun/
6,"“The new Dane County lockdown policy… (has) effectively killed Badger football, hockey, and basketball for 2020.”",false,barely-true,Politifact,2020-05-19,Scott Manley,,https://politifact.com/factchecks/2020/jun/02/scott-manley/dane-county-reopening-plan-does-not-totally-elimin/
7,“Two-thirds of Americans disapprove of Donald Trump not wearing a face mask in public.”,true,true,Politifact,2020-05-27,Darren Jackson,,https://politifact.com/factchecks/2020/jun/01/darren-jackson/north-carolina-democrat-right-most-americans-want-/
8,Says President Donald Trump “took more than a month to allocate Congress’ emergency funding to tribes — and only did so after tribes sued.”,partly false,mostly-true,Politifact,2020-05-21,Joe Biden,,https://politifact.com/factchecks/2020/jun/01/joe-biden/fact-checking-joe-bidens-claim-trump-delayed-8-bil/
9,"“With retail, people are moving around and you don’t have as much a chance to spread the virus (as you do) when people are sitting or standing indoors” for long periods of time.",partly false,mostly-true,Politifact,2020-05-12,Roy Cooper,,https://politifact.com/factchecks/2020/jun/01/roy-cooper/nc-governor-mostly-right-about-indoor-worship-and-/
10,"""The Trump Administration is trying to take food assistance away from Wisconsin families when people are out of work and struggling.""",not enough evidence,half-true,Politifact,2020-05-15,Tammy Baldwin,,https://politifact.com/factchecks/2020/jun/01/tammy-baldwin/trump-administration-provides-food-aid-during-pand/
11,"“For the World Health Organization, the international entity whose sole responsibility it is to alert the world of global pandemics like this, to miss this, is a huge problem.”",false,barely-true,Politifact,2020-05-05,Brian Fitzpatrick,,https://politifact.com/factchecks/2020/may/30/brian-fitzpatrick/no-world-health-organization-didnt-miss-coronaviru/
12,Says researchers found a “fabric that kills coronaviruses”,partly false,mostly-true,Politifact,2020-05-21,Facebook posts,,https://politifact.com/factchecks/2020/may/30/facebook-posts/research-fabric-can-neutralize-coronavirus-masks/
13,Michigan governor reopened Traverse City “so she could have her daughter's open house.”,false,false,Politifact,2020-05-20,Facebook posts,,https://politifact.com/factchecks/2020/may/29/facebook-posts/michigan-governor-didnt-have-family-event-reopened/
14,"Says Ohio Gov. Mike DeWine released 4,300 prisoners and is now warning residents of a possible crime wave.",false,false,Politifact,2020-05-16,Facebook posts,,https://politifact.com/factchecks/2020/may/29/facebook-posts/no-ohio-gov-mike-dewine-did-not-release-4300-priso/
15,"Says President Donald Trump is trying to make $451 billion in Medicare cuts ""in the middle of a deadly pandemic.""",false,barely-true,Politifact,2020-05-19,Priorities USA Action,,https://politifact.com/factchecks/2020/may/29/priorities-usa-action/democratic-super-pac-uses-familiar-political-play-/
16,"“We’re down near the low end of per capita deaths ... Most places are at 60 deaths per 100,000. We're at 29.”",false,barely-true,Politifact,2020-05-27,Joe Kernen,,https://politifact.com/factchecks/2020/may/28/joe-kernen/cnbcs-joe-kernen-wrong-about-us-capita-covid-19-de/
17,“This is what Bill Gates and George Soros want to do… secretly stick you with a chip while testing you for the coronavirus... the Dems have a bill on the House floor ready to vote on it to require this.”,false,false,Politifact,2020-05-10,Facebook posts,,https://politifact.com/factchecks/2020/may/28/facebook-posts/theres-no-plot-microchip-people-during-covid-19-te/
18,"Says the state “health secretary says don't go to hospitals or clinics, now the tourism secretary says don't recreate.”",false,barely-true,Politifact,2020-05-26,"Tom Tiffany
 ",,https://politifact.com/factchecks/2020/may/28/tom-tiffany/tiffany-wrong-claim-officials-dont-want-wisconsini/
19,"Italy “went against the WHO's ‘law’” against COVID-19 autopsies and “discovered covid is not a virus, but a bacterium” that “clots the blood and reduces the oxygen saturation.”",false,false,Politifact,2020-05-26,Facebook posts,,https://politifact.com/factchecks/2020/may/28/facebook-posts/covid-19-virus-not-bacterium/
20,"“Cases, numbers and deaths (of COVID-19) are going down all over the Country!”",not enough evidence,half-true,Politifact,2020-05-24,Donald Trump,,https://politifact.com/factchecks/2020/may/28/donald-trump/are-coronavirus-cases-going-down-all-over-us/
21,The flu didn't kill any Americans this year.,false,pants-fire,Politifact,2020-05-16,Facebook posts,,https://politifact.com/factchecks/2020/may/27/facebook-posts/americans-have-died-flu-and-covid-19/
22,A photo shows three men on crosses who “feel like they’re being crucified by being required to stay at home.”,false,false,Politifact,2020-05-22,Viral image,,https://politifact.com/factchecks/2020/may/27/viral-image/no-crucifixion-photo-doesnt-show-pandemic-proteste/
23,"Says Michigan Gov. Gretchen Whitmer’s family spent May 20 at her second home, breaking her own stay-at-home orders.",false,false,Politifact,2020-05-20,Facebook posts,,https://politifact.com/factchecks/2020/may/27/facebook-posts/michigan-gov-whitmer-did-not-spend-may-20-her-vaca/
24,A photo shows Gov. Gretchen Whitmer “on Mackinaw Island today ignoring mask and social distancing rules.”,false,false,Politifact,2020-05-24,Viral image,,https://politifact.com/factchecks/2020/may/27/viral-image/no-photo-doesnt-show-gretchen-whitmer-breaking-soc/
25,"Nancy Pelosi said ""Congress shall not vote remotely because it is not secure!"" while also saying that “Americans should all vote for president by mail!”",false,barely-true,Politifact,2020-05-10,Facebook posts,,https://politifact.com/factchecks/2020/may/27/facebook-posts/No-Nancy-Pelosi-does-not-oppose-remote-voting/
26,"“[U.S. Rep. Conor Lamb] said he would NOT vote for [Nancy Pelosi] for Speaker, and did.”",false,pants-fire,Politifact,2020-05-25,Donald Trump,,https://politifact.com/factchecks/2020/may/27/donald-trump/trump-said-pa-rep-conor-lamb-backed-nancy-pelosi-h/
27,Texas and Florida have a “balanced budget” while California is “in debt $54 billion and New York is “in debt $6.1 billion.”,false,false,Politifact,2020-05-18,Facebook posts,,https://politifact.com/factchecks/2020/may/26/facebook-posts/facebook-post-gets-debt-wrong-comparison-florida-t/
28,"Amid the COVID-19 outbreak, “Minnesota now has the highest unemployment rate in U.S. history.”",false,barely-true,Politifact,2020-05-06,Facebook posts,,https://politifact.com/factchecks/2020/may/26/facebook-posts/minnesota-doesnt-have-highest-unemployment-rate-us/
29,“Children don’t seem to be getting this virus”,false,barely-true,Politifact,2020-04-28,Janel Brandtjen,,https://politifact.com/factchecks/2020/may/22/janel-brandtjen/yes-children-do-get-coronavirus-it-just-might-not-/
30,"“While California is dying … Gavin (Newsom) is vacationing in Stevensville, MT!”",false,false,Politifact,2020-05-18,Facebook posts,,https://politifact.com/factchecks/2020/may/22/facebook-posts/no-california-gov-gavin-newsom-hasnt-been-vacation/
31,“The COVID-19 future vaccine will come with the ID — a mark. The ID tells everyone you are free of COVID.”,false,false,Politifact,2020-04-11,Facebook posts,,https://politifact.com/factchecks/2020/may/22/facebook-posts/no-covid-19-vaccine-wouldnt-come-mark/
32,"Says if you're refused service at a store for not wearing a mask “call the department of health and report the store. Masks are suggested, not required.”",false,false,Politifact,2020-04-28,Facebook posts,,https://politifact.com/factchecks/2020/may/22/facebook-posts/post-falsely-claims-people-should-report-pennsylva/
33,“Italian Parliament Calls For The Arrest of Bill Gates”,false,false,Politifact,2020-05-15,Bloggers,,https://politifact.com/factchecks/2020/may/22/blog-posting/italian-government-doesnt-want-arrest-bill-gates/
